timestamp,stonewall_min_xfers,stonewall_max_xfers,stonewall_time_secs,stonewall_bytes_moved,access,bw(mib/s),iops,latency(s),block(kib),xfer(kib),open(s),wr/rd(s),close(s),total(s),iter,start,ordering,nodes,nproc,ppn,xfersize,aggsize_bytes,end,filename
1628524278.0,15148.0,15622.0,45.0,262093668352.0,write,4086.0,4088.0,53.74,1024.0,1024.0,0.028368,61.15,0.000477,61.18,0,1628524342.0,sequential,1,16,16,1048576.0,17592186044416.0,1628524369,ior-n1ppn16t1048576.0.out
1628524342.0,15622.0,15622.0,25.7,262093668352.0,read,9741.0,9741.0,25.66,1024.0,1024.0,0.001138,25.66,1.5e-05,25.66,0,1628524342.0,sequential,1,16,16,1048576.0,17592186044416.0,1628524369,ior-n1ppn16t1048576.0.out
1628524372.0,14789.0,15690.0,45.0,263234519040.0,write,4144.0,4146.0,51.73,1024.0,1024.0,0.030562,60.55,0.00048,60.58,0,1628524436.0,sequential,1,16,16,1048576.0,17592186044416.0,1628524461,ior-n1ppn16t1048576.1.out
1628524436.0,15690.0,15690.0,24.1,263234519040.0,read,10401.0,10402.0,24.13,1024.0,1024.0,0.001109,24.13,0.000347,24.14,0,1628524436.0,sequential,1,16,16,1048576.0,17592186044416.0,1628524461,ior-n1ppn16t1048576.1.out
1628524464.0,13664.0,14821.0,45.0,248655118336.0,write,3519.36,3520.98,51.0,1024.0,1024.0,0.030444,67.35,0.000474,67.38,0,1628524534.0,sequential,1,16,16,1048576.0,17592186044416.0,1628524558,ior-n1ppn16t1048576.2.out
1628524534.0,14821.0,14821.0,22.7,248655118336.0,read,10428.0,10429.0,22.74,1024.0,1024.0,0.002262,22.74,2.5e-05,22.74,0,1628524534.0,sequential,1,16,16,1048576.0,17592186044416.0,1628524558,ior-n1ppn16t1048576.2.out
1628524561.0,14577.0,15253.0,45.0,255902875648.0,write,3891.0,3893.0,52.26,1024.0,1024.0,0.031159,62.68,0.000538,62.72,0,1628524627.0,sequential,1,16,16,1048576.0,17592186044416.0,1628524653,ior-n1ppn16t1048576.3.out
1628524627.0,15253.0,15253.0,24.5,255902875648.0,read,9947.0,9949.0,24.53,1024.0,1024.0,0.000816,24.53,0.002886,24.53,0,1628524627.0,sequential,1,16,16,1048576.0,17592186044416.0,1628524653,ior-n1ppn16t1048576.3.out
1628524657.0,14564.0,15465.0,45.0,259459645440.0,write,3933.0,3935.0,59.58,1024.0,1024.0,0.030521,62.88,0.000483,62.91,0,1628524723.0,sequential,1,16,16,1048576.0,17592186044416.0,1628524748,ior-n1ppn16t1048576.4.out
1628524723.0,15465.0,15465.0,23.7,259459645440.0,read,10429.0,10429.0,23.73,1024.0,1024.0,0.000844,23.73,0.000289,23.73,0,1628524723.0,sequential,1,16,16,1048576.0,17592186044416.0,1628524748,ior-n1ppn16t1048576.4.out
1628560204.0,4486888.0,4663909.0,45.0,214912926720.0,write,3398.86,1238087.0,58.26,2.81,2.81,0.028825,60.27,0.000412,60.3,0,1628560267.0,sequential,1,16,16,2880.0,17592186044416.0,1628560292,ior-n1ppn16t2880.0.out
1628560267.0,4663909.0,4663909.0,24.1,214912926720.0,read,8499.0,3094538.0,24.11,2.81,2.81,0.000685,24.11,0.000311,24.12,0,1628560267.0,sequential,1,16,16,2880.0,17592186044416.0,1628560292,ior-n1ppn16t2880.0.out
1628560294.0,4648518.0,5394273.0,45.0,248568099840.0,write,3660.0,1333296.0,59.25,2.81,2.81,0.030177,64.73,0.000495,64.76,0,1628560364.0,sequential,1,16,16,2880.0,17592186044416.0,1628560391,ior-n1ppn16t2880.1.out
1628560364.0,5394273.0,5394273.0,26.1,248568099840.0,read,9079.0,3305895.0,26.11,2.81,2.81,0.001748,26.11,1.7e-05,26.11,0,1628560364.0,sequential,1,16,16,2880.0,17592186044416.0,1628560391,ior-n1ppn16t2880.1.out
1628560394.0,4372604.0,4493244.0,45.0,207048683520.0,write,3212.82,1170375.0,52.2,2.81,2.81,0.032198,61.43,0.000465,61.46,0,1628560459.0,sequential,1,16,16,2880.0,17592186044416.0,1628560483,ior-n1ppn16t2880.2.out
1628560459.0,4493244.0,4493244.0,22.6,207048683520.0,read,8752.0,3186767.0,22.56,2.81,2.81,0.001145,22.56,0.000307,22.56,0,1628560459.0,sequential,1,16,16,2880.0,17592186044416.0,1628560483,ior-n1ppn16t2880.2.out
1628560486.0,4397395.0,4556772.0,45.0,209976053760.0,write,3299.3,1201895.0,53.0,2.81,2.81,0.032816,60.66,0.000385,60.69,0,1628560550.0,sequential,1,16,16,2880.0,17592186044416.0,1628560574,ior-n1ppn16t2880.3.out
1628560550.0,4556772.0,4556772.0,23.1,209976053760.0,read,8650.0,3149432.0,23.15,2.81,2.81,0.001247,23.15,0.00033,23.15,0,1628560550.0,sequential,1,16,16,2880.0,17592186044416.0,1628560574,ior-n1ppn16t2880.3.out
