timestamp,stonewall_min_xfers,stonewall_max_xfers,stonewall_time_secs,stonewall_bytes_moved,access,bw(mib/s),iops,latency(s),block(kib),xfer(kib),open(s),wr/rd(s),close(s),total(s),iter,start,ordering,nodes,nproc,ppn,xfersize,aggsize_bytes,end,filename
1628629427.0,289.0,561.0,45.0,301184581632.0,write,3489.19,109.08,70.82,32768.0,32768.0,0.030568,82.29,0.001422,82.32,0,1628874391.0,sequential,1,16,16,33554432.0,17592186044416.0,1628874414,ior-n1ppn16t33554432.0.out
1628874391.0,561.0,561.0,22.1,301184581632.0,read,13003.0,406.44,22.08,32768.0,32768.0,0.004238,22.08,1.6e-05,22.09,0,1628874391.0,sequential,1,16,16,33554432.0,17592186044416.0,1628874414,ior-n1ppn16t33554432.0.out
1628646652.0,441.0,485.0,45.1,260382392320.0,write,3735.0,116.76,52.76,32768.0,32768.0,0.030885,66.46,0.000596,66.49,0,1628878441.0,sequential,1,16,16,33554432.0,17592186044416.0,1628878460,ior-n1ppn16t33554432.1.out
1628878441.0,485.0,485.0,18.0,260382392320.0,read,13766.0,430.27,18.04,32768.0,32768.0,0.003361,18.04,2e-05,18.04,0,1628878441.0,sequential,1,16,16,33554432.0,17592186044416.0,1628878460,ior-n1ppn16t33554432.1.out
1628686992.0,407.0,538.0,53.1,288836550656.0,write,3623.0,113.28,66.38,32768.0,32768.0,0.031988,75.99,0.000524,76.02,0,1628884639.0,sequential,1,16,16,33554432.0,17592186044416.0,1628884664,ior-n1ppn16t33554432.2.out
1628884639.0,538.0,538.0,22.5,288836550656.0,read,12215.0,381.78,22.55,32768.0,32768.0,0.00437,22.55,2.3e-05,22.55,0,1628884639.0,sequential,1,16,16,33554432.0,17592186044416.0,1628884664,ior-n1ppn16t33554432.2.out
1628705291.0,414.0,475.0,45.1,255013683200.0,write,3461.02,108.2,59.25,32768.0,32768.0,0.02998,70.24,0.000653,70.27,0,1628888887.0,sequential,1,16,16,33554432.0,17592186044416.0,1628888909,ior-n1ppn16t33554432.3.out
1628888887.0,475.0,475.0,20.0,255013683200.0,read,12163.0,380.22,19.99,32768.0,32768.0,0.006904,19.99,1.9e-05,20.0,0,1628888887.0,sequential,1,16,16,33554432.0,17592186044416.0,1628888909,ior-n1ppn16t33554432.3.out
1628782271.0,192.0,394.0,45.9,211527139328.0,write,2319.67,72.52,58.07,32768.0,32768.0,0.031338,86.93,0.000495,86.96,0,1628893182.0,sequential,1,16,16,33554432.0,17592186044416.0,1628893199,ior-n1ppn16t33554432.4.out
1628893182.0,394.0,394.0,14.9,211527139328.0,read,13522.0,422.66,14.92,32768.0,32768.0,0.003308,14.92,1.9e-05,14.92,0,1628893182.0,sequential,1,16,16,33554432.0,17592186044416.0,1628893199,ior-n1ppn16t33554432.4.out
1628642341.0,2555296.0,3717037.0,50.7,243599736832.0,write,3270.59,837653.0,68.99,4.0,4.0,0.031905,71.0,0.000524,71.03,0,1628877131.0,sequential,1,16,16,4096.0,17592186044416.0,1628877152,ior-n1ppn16t4096.0.out
1628877131.0,3717037.0,3717037.0,20.0,243599736832.0,read,11595.0,2968741.0,20.03,4.0,4.0,0.002944,20.03,1.6e-05,20.04,0,1628877131.0,sequential,1,16,16,4096.0,17592186044416.0,1628877152,ior-n1ppn16t4096.0.out
1628682658.0,3560708.0,3631844.0,45.0,238016528384.0,write,3472.34,889339.0,65.34,4.0,4.0,0.030149,65.34,0.000596,65.37,0,1628883378.0,sequential,1,16,16,4096.0,17592186044416.0,1628883401,ior-n1ppn16t4096.1.out
1628883378.0,3631844.0,3631844.0,21.3,238016528384.0,read,10672.0,2732305.0,21.27,4.0,4.0,0.002784,21.27,2.3e-05,21.27,0,1628883378.0,sequential,1,16,16,4096.0,17592186044416.0,1628883401,ior-n1ppn16t4096.1.out
1628699719.0,3515334.0,3654727.0,45.0,239516188672.0,write,3536.52,905775.0,54.25,4.0,4.0,0.02968,64.56,0.000644,64.59,0,1628887568.0,sequential,1,16,16,4096.0,17592186044416.0,1628887591,ior-n1ppn16t4096.2.out
1628887568.0,3654727.0,3654727.0,21.4,239516188672.0,read,10657.0,2728511.0,21.43,4.0,4.0,0.002483,21.43,2e-05,21.43,0,1628887568.0,sequential,1,16,16,4096.0,17592186044416.0,1628887591,ior-n1ppn16t4096.2.out
1628771051.0,3773655.0,3889806.0,45.0,254922326016.0,write,3622.0,927710.0,63.26,4.0,4.0,0.027155,67.09,0.000535,67.11,0,1628891810.0,sequential,1,16,16,4096.0,17592186044416.0,1628891832,ior-n1ppn16t4096.3.out
1628891810.0,3889806.0,3889806.0,21.1,254922326016.0,read,11512.0,2947755.0,21.11,4.0,4.0,0.004118,21.11,1.6e-05,21.12,0,1628891810.0,sequential,1,16,16,4096.0,17592186044416.0,1628891832,ior-n1ppn16t4096.3.out
1628796272.0,3160773.0,3200443.0,45.0,209744232448.0,write,3154.62,807980.0,51.75,4.0,4.0,0.030678,63.38,0.000501,63.41,0,1628896850.0,sequential,1,16,16,4096.0,17592186044416.0,1628896871,ior-n1ppn16t4096.4.out
1628896850.0,3200443.0,3200443.0,19.3,209744232448.0,read,10377.0,2657572.0,19.27,4.0,4.0,0.006281,19.27,0.000507,19.28,0,1628896850.0,sequential,1,16,16,4096.0,17592186044416.0,1628896871,ior-n1ppn16t4096.4.out
1628637220.0,2509.0,3040.0,46.0,204010946560.0,write,3715.0,929.27,51.72,4096.0,4096.0,0.031079,52.34,0.000715,52.37,0,1628875532.0,sequential,1,16,16,4194304.0,17592186044416.0,1628875546,ior-n1ppn16t4194304.0.out
1628875532.0,3040.0,3040.0,13.0,204010946560.0,read,14987.0,3748.0,12.98,4096.0,4096.0,0.003123,12.98,1.6e-05,12.98,0,1628875532.0,sequential,1,16,16,4194304.0,17592186044416.0,1628875546,ior-n1ppn16t4194304.0.out
1628650268.0,3644.0,3803.0,45.0,255215009792.0,write,3870.0,968.09,51.95,4096.0,4096.0,0.03007,62.85,0.000578,62.88,0,1628880111.0,sequential,1,16,16,4194304.0,17592186044416.0,1628880134,ior-n1ppn16t4194304.1.out
1628880111.0,3803.0,3803.0,20.5,255215009792.0,read,11845.0,2961.78,20.54,4096.0,4096.0,0.003655,20.54,2e-05,20.55,0,1628880111.0,sequential,1,16,16,4194304.0,17592186044416.0,1628880134,ior-n1ppn16t4194304.1.out
1628694305.0,2952.0,4695.0,45.0,315076116480.0,write,3818.0,955.1,59.76,4096.0,4096.0,0.039082,78.65,0.000571,78.69,0,1628885809.0,sequential,1,16,16,4194304.0,17592186044416.0,1628885835,ior-n1ppn16t4194304.2.out
1628885809.0,4695.0,4695.0,24.5,315076116480.0,read,12267.0,3067.16,24.49,4096.0,4096.0,0.00286,24.49,2e-05,24.49,0,1628885809.0,sequential,1,16,16,4194304.0,17592186044416.0,1628885835,ior-n1ppn16t4194304.2.out
1628710034.0,3546.0,3617.0,45.0,242732761088.0,write,3695.0,924.27,49.13,4096.0,4096.0,0.031534,62.61,0.000814,62.65,0,1628890067.0,sequential,1,16,16,4194304.0,17592186044416.0,1628890086,ior-n1ppn16t4194304.3.out
1628890067.0,3617.0,3617.0,17.0,242732761088.0,read,13575.0,3394.38,17.05,4096.0,4096.0,0.003153,17.05,1.7e-05,17.05,0,1628890067.0,sequential,1,16,16,4194304.0,17592186044416.0,1628890086,ior-n1ppn16t4194304.3.out
1628787707.0,2725.0,4304.0,45.0,288836550656.0,write,3320.85,830.52,66.25,4096.0,4096.0,0.030016,82.92,0.000513,82.95,0,1628894336.0,sequential,1,16,16,4194304.0,17592186044416.0,1628894362,ior-n1ppn16t4194304.4.out
1628894336.0,4304.0,4304.0,23.9,288836550656.0,read,11526.0,2881.82,23.9,4096.0,4096.0,0.001985,23.9,2e-05,23.9,0,1628894336.0,sequential,1,16,16,4194304.0,17592186044416.0,1628894362,ior-n1ppn16t4194304.4.out
1628640557.0,31108.0,31537.0,45.0,264551530496.0,write,4262.0,8529.0,58.44,512.0,512.0,0.032309,59.16,0.001418,59.19,0,1628876548.0,sequential,1,16,16,524288.0,17592186044416.0,1628876567,ior-n1ppn16t524288.0.out
1628876548.0,31537.0,31537.0,18.2,264551530496.0,read,13845.0,27694.0,18.22,512.0,512.0,0.002973,18.22,1.6e-05,18.22,0,1628876548.0,sequential,1,16,16,524288.0,17592186044416.0,1628876567,ior-n1ppn16t524288.0.out
1628680692.0,21091.0,29158.0,45.0,244595032064.0,write,3796.0,7596.0,61.4,512.0,512.0,0.032159,61.42,0.00071,61.45,0,1628882767.0,sequential,1,16,16,524288.0,17592186044416.0,1628882787,ior-n1ppn16t524288.1.out
1628882767.0,29158.0,29158.0,18.8,244595032064.0,read,12390.0,24799.0,18.81,512.0,512.0,0.014521,18.81,2e-05,18.83,0,1628882767.0,sequential,1,16,16,524288.0,17592186044416.0,1628882787,ior-n1ppn16t524288.1.out
1628697903.0,18970.0,40276.0,45.0,337859575808.0,write,3859.0,7722.0,78.53,512.0,512.0,0.030822,83.46,0.000475,83.49,0,1628886970.0,sequential,1,16,16,524288.0,17592186044416.0,1628886998,ior-n1ppn16t524288.2.out
1628886970.0,40276.0,40276.0,26.1,337859575808.0,read,12326.0,24655.0,26.14,512.0,512.0,0.002626,26.14,0.000378,26.14,0,1628886970.0,sequential,1,16,16,524288.0,17592186044416.0,1628886998,ior-n1ppn16t524288.2.out
1628730388.0,14306.0,26652.0,47.0,223573180416.0,write,3071.68,6146.0,65.53,512.0,512.0,0.029634,69.38,0.000493,69.41,0,1628891234.0,sequential,1,16,16,524288.0,17592186044416.0,1628891249,ior-n1ppn16t524288.3.out
1628891234.0,26652.0,26652.0,14.5,223573180416.0,read,14699.0,29406.0,14.5,512.0,512.0,0.003966,14.5,1.8e-05,14.51,0,1628891234.0,sequential,1,16,16,524288.0,17592186044416.0,1628891249,ior-n1ppn16t524288.3.out
1628793374.0,23103.0,24935.0,46.7,209169940480.0,write,3688.0,7380.0,49.3,512.0,512.0,0.028494,54.06,0.00098,54.09,0,1628896212.0,sequential,1,16,16,524288.0,17592186044416.0,1628896228,ior-n1ppn16t524288.4.out
1628896212.0,24935.0,24935.0,14.4,209169940480.0,read,13834.0,27676.0,14.42,512.0,512.0,0.003893,14.42,1.8e-05,14.42,0,1628896212.0,sequential,1,16,16,524288.0,17592186044416.0,1628896228,ior-n1ppn16t524288.4.out
1628631149.0,1214.0,1801.0,45.0,241726128128.0,write,3984.0,498.28,46.8,8192.0,8192.0,0.031424,57.83,0.001258,57.86,0,1628874989.0,sequential,1,16,16,8388608.0,17592186044416.0,1628875007,ior-n1ppn16t8388608.0.out
1628874989.0,1801.0,1801.0,16.6,241726128128.0,read,13895.0,1737.2,16.59,8192.0,8192.0,0.003135,16.59,1.7e-05,16.59,0,1628874989.0,sequential,1,16,16,8388608.0,17592186044416.0,1628875007,ior-n1ppn16t8388608.0.out
1628648377.0,1485.0,3026.0,45.0,406142844928.0,write,3960.0,495.12,90.12,8192.0,8192.0,0.032177,97.79,0.000666,97.82,0,1628879032.0,sequential,1,16,16,8388608.0,17592186044416.0,1628879070,ior-n1ppn16t8388608.1.out
1628879032.0,3026.0,3026.0,36.6,406142844928.0,read,10588.0,1323.63,36.58,8192.0,8192.0,0.003505,36.58,0.000412,36.58,0,1628879032.0,sequential,1,16,16,8388608.0,17592186044416.0,1628879070,ior-n1ppn16t8388608.1.out
1628688775.0,1258.0,1803.0,45.0,241994563584.0,write,3642.0,455.43,55.23,8192.0,8192.0,0.031998,63.34,0.000769,63.38,0,1628885248.0,sequential,1,16,16,8388608.0,17592186044416.0,1628885268,ior-n1ppn16t8388608.2.out
1628885248.0,1803.0,1803.0,18.7,241994563584.0,read,12367.0,1546.33,18.66,8192.0,8192.0,0.005555,18.66,2.1e-05,18.66,0,1628885248.0,sequential,1,16,16,8388608.0,17592186044416.0,1628885268,ior-n1ppn16t8388608.2.out
1628707572.0,1549.0,2074.0,46.1,278367567872.0,write,3664.0,458.24,63.97,8192.0,8192.0,0.030279,72.42,0.000525,72.45,0,1628889469.0,sequential,1,16,16,8388608.0,17592186044416.0,1628889491,ior-n1ppn16t8388608.3.out
1628889469.0,2074.0,2074.0,20.4,278367567872.0,read,13026.0,1628.58,20.38,8192.0,8192.0,0.004692,20.38,3.2e-05,20.38,0,1628889469.0,sequential,1,16,16,8388608.0,17592186044416.0,1628889491,ior-n1ppn16t8388608.3.out
1628785046.0,962.0,1503.0,47.5,201729245184.0,write,2628.23,328.67,58.04,8192.0,8192.0,0.030371,73.17,0.000801,73.2,0,1628893773.0,sequential,1,16,16,8388608.0,17592186044416.0,1628893788,ior-n1ppn16t8388608.4.out
1628893773.0,1503.0,1503.0,13.8,201729245184.0,read,13971.0,1746.74,13.77,8192.0,8192.0,0.003022,13.77,1.9e-05,13.77,0,1628893773.0,sequential,1,16,16,8388608.0,17592186044416.0,1628893788,ior-n1ppn16t8388608.4.out
1628639149.0,55284.0,55284.0,45.0,57969475584.0,write,1137.21,1137.27,48.61,1024.0,1024.0,0.002554,48.61,0.000323,48.61,0,1628876130.0,sequential,1,1,1,1048576.0,17592186044416.0,1628876158,ior-n1ppn1t1048576.0.out
1628876130.0,55284.0,55284.0,26.6,57969475584.0,read,2077.02,2077.15,26.62,1024.0,1024.0,0.001613,26.62,1.8e-05,26.62,0,1628876130.0,sequential,1,1,1,1048576.0,17592186044416.0,1628876158,ior-n1ppn1t1048576.0.out
1628652322.0,49238.0,49238.0,45.0,51629785088.0,write,1012.59,1012.65,48.62,1024.0,1024.0,0.002582,48.62,0.000312,48.63,0,1628882360.0,sequential,1,1,1,1048576.0,17592186044416.0,1628882385,ior-n1ppn1t1048576.1.out
1628882360.0,49238.0,49238.0,23.7,51629785088.0,read,2078.17,2078.31,23.69,1024.0,1024.0,0.001574,23.69,1.2e-05,23.69,0,1628882360.0,sequential,1,1,1,1048576.0,17592186044416.0,1628882385,ior-n1ppn1t1048576.1.out
1628696367.0,52767.0,52767.0,45.0,55330209792.0,write,1066.01,1066.06,49.5,1024.0,1024.0,0.002217,49.5,0.000254,49.5,0,1628886513.0,sequential,1,1,1,1048576.0,17592186044416.0,1628886541,ior-n1ppn1t1048576.2.out
1628886513.0,52767.0,52767.0,27.0,55330209792.0,read,1952.0,1952.09,27.03,1024.0,1024.0,0.001265,27.03,1.5e-05,27.03,0,1628886513.0,sequential,1,1,1,1048576.0,17592186044416.0,1628886541,ior-n1ppn1t1048576.2.out
1628727972.0,43673.0,43673.0,45.0,45794459648.0,write,914.43,914.47,47.76,1024.0,1024.0,0.002115,47.76,0.000258,47.76,0,1628890765.0,sequential,1,1,1,1048576.0,17592186044416.0,1628890788,ior-n1ppn1t1048576.3.out
